ID,Company Name,Industry
0,null,N/A
1,ALICO INC,AGRICULTURE PRODUCTION - CROPS [0100]
2,BEMIS CO INC,CONVERTED PAPER & PAPERBOARD PRODS (NO CONTAINERS/BOXES) [2670]
3,BEMIS CO INC,CONVERTED PAPER & PAPERBOARD PRODS (NO CONTAINERS/BOXES) [2670]
4,BLACK HILLS POWER INC,ELECTRIC SERVICES [4911]
5,MONARCH COMMUNITY BANCORP INC,NATIONAL COMMERCIAL BANKS [6021]
6,UNION CARBIDE CORP /NEW/,INDUSTRIAL ORGANIC CHEMICALS [2860]
7,YANZHOU COAL MINING CO LTD,BITUMINOUS COAL & LIGNITE SURFACE MINING [1221]
8,Short-Term Bond Fund of America,N/A
9,PRUDENTIAL INVESTMENT PORTFOLIOS  INC. 10,N/A
10,PRUDENTIAL JENNISON MID-CAP GROWTH FUND  INC.,N/A
11,PRUDENTIAL INVESTMENT PORTFOLIOS 3,N/A
12,XCEL ENERGY INC,ELECTRIC & OTHER SERVICES COMBINED [4931]
13,XCEL ENERGY INC,ELECTRIC & OTHER SERVICES COMBINED [4931]
14,UDR  Inc.,REAL ESTATE INVESTMENT TRUSTS [6798]
15,CARMAX INC,RETAIL-AUTO DEALERS & GASOLINE STATIONS [5500]
16,CONCUR TECHNOLOGIES INC,SERVICES-PREPACKAGED SOFTWARE [7372]
17,CONTANGO OIL & GAS CO,CRUDE PETROLEUM & NATURAL GAS [1311]
18,SUNESIS PHARMACEUTICALS INC,PHARMACEUTICAL PREPARATIONS [2834]
19,SEMPRA ENERGY,GAS & OTHER SERVICES COMBINED [4932]
20,SEMPRA ENERGY,GAS & OTHER SERVICES COMBINED [4932]
21,SEMPRA ENERGY,GAS & OTHER SERVICES COMBINED [4932]
22,SOUTHERN CALIFORNIA EDISON CO,ELECTRIC SERVICES [4911]
23,MISSISSIPPI POWER CO,ELECTRIC SERVICES [4911]
24,SOUTHERN CO,ELECTRIC SERVICES [4911]
25,TUCSON ELECTRIC POWER CO,ELECTRIC SERVICES [4911]
26,TWIN DISC INC,GENERAL INDUSTRIAL MACHINERY & EQUIPMENT [3560]
27,TWIN DISC INC,GENERAL INDUSTRIAL MACHINERY & EQUIPMENT [3560]
28,TYSON FOODS INC,POULTRY SLAUGHTERING AND PROCESSING [2015]
29,TYSON FOODS INC,POULTRY SLAUGHTERING AND PROCESSING [2015]
30,CHIQUITA BRANDS INTERNATIONAL INC,AGRICULTURE PRODUCTION - CROPS [0100]
31,CHIQUITA BRANDS INTERNATIONAL INC,AGRICULTURE PRODUCTION - CROPS [0100]
32,CHIQUITA BRANDS INTERNATIONAL INC,AGRICULTURE PRODUCTION - CROPS [0100]
33,UNITED FIRE GROUP INC,FIRE  MARINE & CASUALTY INSURANCE [6331]
34,MARATHON OIL CORP,CRUDE PETROLEUM & NATURAL GAS [1311]
35,UNITED TECHNOLOGIES CORP /DE/,AIRCRAFT ENGINES & ENGINE PARTS [3724]
36,UNITED TECHNOLOGIES CORP /DE/,AIRCRAFT ENGINES & ENGINE PARTS [3724]
37,SPRINT Corp,TELEPHONE COMMUNICATIONS (NO RADIO TELEPHONE) [4813]
38,SPRINT Corp,TELEPHONE COMMUNICATIONS (NO RADIO TELEPHONE) [4813]
39,SEPARATE ACCOUNT VL OF FIRST VARIABLE LIFE INSURANCE CO,N/A
40,SEPARATE ACCOUNT VL OF FIRST VARIABLE LIFE INSURANCE CO,N/A
41,SEPARATE ACCOUNT VL OF FIRST VARIABLE LIFE INSURANCE CO,N/A
42,FIRST VARIABLE ANNUITY FUND A,N/A
43,UNIVERSAL CORP /VA/,WHOLESALE-FARM PRODUCT RAW MATERIALS [5150]
44,UNIVERSAL CORP /VA/,WHOLESALE-FARM PRODUCT RAW MATERIALS [5150]
45,VSE CORP,SERVICES-ENGINEERING SERVICES [8711]
46,VSE CORP,SERVICES-ENGINEERING SERVICES [8711]
47,VARIABLE ANNUITY ACCOUNT B OF VOYA RETIREMENT INSURANCE & ANNUITY Co,N/A
48,VISHAY INTERTECHNOLOGY INC,ELECTRONIC COMPONENTS & ACCESSORIES [3670]
49,WALGREEN CO,RETAIL-DRUG STORES AND PROPRIETARY STORES [5912]
50,WALGREEN CO,RETAIL-DRUG STORES AND PROPRIETARY STORES [5912]
51,Graham Holdings Co,SERVICES-EDUCATIONAL SERVICES [8200]
52,WASHINGTON REAL ESTATE INVESTMENT TRUST,REAL ESTATE INVESTMENT TRUSTS [6798]
53,WASHINGTON REAL ESTATE INVESTMENT TRUST,REAL ESTATE INVESTMENT TRUSTS [6798]
54,WASHINGTON REAL ESTATE INVESTMENT TRUST,REAL ESTATE INVESTMENT TRUSTS [6798]
55,AVISTA CORP,ELECTRIC & OTHER SERVICES COMBINED [4931]
56,AVISTA CORP,ELECTRIC & OTHER SERVICES COMBINED [4931]
57,WD 40 CO,MISCELLANEOUS CHEMICAL PRODUCTS [2890]
58,WD 40 CO,MISCELLANEOUS CHEMICAL PRODUCTS [2890]
59,WEIS MARKETS INC,RETAIL-GROCERY STORES [5411]
60,WEIS MARKETS INC,RETAIL-GROCERY STORES [5411]
61,EMCOR GROUP INC,ELECTRICAL WORK [1731]
62,EMCOR GROUP INC,ELECTRICAL WORK [1731]
63,WEST PHARMACEUTICAL SERVICES INC,FABRICATED RUBBER PRODUCTS  NEC [3060]
64,WEST PHARMACEUTICAL SERVICES INC,FABRICATED RUBBER PRODUCTS  NEC [3060]
65,WESTMORELAND COAL Co,BITUMINOUS COAL & LIGNITE SURFACE MINING [1221]
66,WESTMORELAND COAL Co,BITUMINOUS COAL & LIGNITE SURFACE MINING [1221]
67,WESTMORELAND COAL Co,BITUMINOUS COAL & LIGNITE SURFACE MINING [1221]
68,WESTMORELAND COAL Co,BITUMINOUS COAL & LIGNITE SURFACE MINING [1221]
69,WEYERHAEUSER CO,REAL ESTATE INVESTMENT TRUSTS [6798]
70,HANDY & HARMAN LTD.,COATING  ENGRAVING & ALLIED SERVICES [3470]
71,WHIRLPOOL CORP /DE/,HOUSEHOLD APPLIANCES [3630]
72,WILLIAMS COMPANIES INC,NATURAL GAS TRANSMISSION [4922]
73,WINNEBAGO INDUSTRIES INC,MOTOR HOMES [3716]
74,WINNEBAGO INDUSTRIES INC,MOTOR HOMES [3716]
75,WISCONSIN ELECTRIC POWER CO,ELECTRIC SERVICES [4911]
76,WISCONSIN PUBLIC SERVICE CORP,ELECTRIC & OTHER SERVICES COMBINED [4931]
77,WISCONSIN PUBLIC SERVICE CORP,ELECTRIC & OTHER SERVICES COMBINED [4931]
78,XEROX CORP,SERVICES-BUSINESS SERVICES  NEC [7389]
79,YORK WATER CO,WATER SUPPLY [4941]
80,YORK WATER CO,WATER SUPPLY [4941]
81,ZIONS BANCORPORATION /UT/,NATIONAL COMMERCIAL BANKS [6021]
82,APPLIED INDUSTRIAL TECHNOLOGIES INC,WHOLESALE-MACHINERY  EQUIPMENT & SUPPLIES [5080]
83,NORTHWEST PIPELINE LLC,NATURAL GAS TRANSMISSION [4922]
84,WOLVERINE WORLD WIDE INC /DE/,FOOTWEAR  (NO RUBBER) [3140]
85,ACCURAY INC,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS [3841]
86,ACORDA THERAPEUTICS INC,BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES) [2836]
87,ATLAS PIPELINE PARTNERS LP,NATURAL GAS TRANSMISSION [4922]
88,BLOUNT INTERNATIONAL INC,CUTLERY  HANDTOOLS & GENERAL HARDWARE [3420]
89,DCT Industrial Trust Inc.,REAL ESTATE INVESTMENT TRUSTS [6798]
90,METABOLIX  INC.,MISCELLANEOUS PLASTIC PRODUCTS [3080]
91,MOVE INC,REAL ESTATE AGENTS & MANAGERS (FOR OTHERS) [6531]
92,OPEN TEXT CORP,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN [7373]
93,Tribute Pharmaceuticals Canada Inc.,PHARMACEUTICAL PREPARATIONS [2834]
94,BFC FINANCIAL CORP,SAVINGS INSTITUTION  FEDERALLY CHARTERED [6035]
95,BFC FINANCIAL CORP,SAVINGS INSTITUTION  FEDERALLY CHARTERED [6035]
96,OPPENHEIMER MAIN STREET MID CAP FUND,N/A
97,OPPENHEIMER DEVELOPING MARKETS FUND,N/A
98,OPPENHEIMER SENIOR FLOATING RATE FUND,N/A
99,OPPENHEIMER SERIES FUND,N/A
100,OPPENHEIMER SENIOR FLOATING RATE FUND,N/A
101,GasLog Partners LP,WATER TRANSPORTATION [4400]
102,Golar LNG Partners LP,WATER TRANSPORTATION [4400]
103,Seadrill Partners LLC,DRILLING OIL & GAS WELLS [1381]
104,Summit Midstream Partners  LP,NATURAL GAS TRANSMISSION [4922]
105,T. Rowe Price Institutional Income Funds  Inc.,N/A
106,DUKE REALTY CORP,REAL ESTATE INVESTMENT TRUSTS [6798]
107,DUKE REALTY CORP,REAL ESTATE INVESTMENT TRUSTS [6798]
108,DUKE REALTY CORP,REAL ESTATE INVESTMENT TRUSTS [6798]
109,PUBLIC SERVICE ENTERPRISE GROUP INC,ELECTRIC & OTHER SERVICES COMBINED [4931]
110,BRANDYWINE OPERATING PARTNERSHIP  L.P.,REAL ESTATE INVESTMENT TRUSTS [6798]
111,PEREGRINE INDUSTRIES INC,GENERAL INDUSTRIAL MACHINERY & EQUIPMENT  NEC [3569]
112,T. Rowe Price Small-Cap Stock Fund  Inc.,N/A
113,T. Rowe Price Tax-Free Short-Intermediate Fund  Inc.,N/A
114,USL SEPARATE ACCOUNT USL VA-R,N/A
115,USL SEPARATE ACCOUNT USL VA-R,N/A
116,USL SEPARATE ACCOUNT USL VL-R,N/A
117,USL SEPARATE ACCOUNT USL VL-R,N/A
118,USL SEPARATE ACCOUNT USL VL-R,N/A
119,USL SEPARATE ACCOUNT USL VL-R,N/A
120,USL SEPARATE ACCOUNT USL VL-R,N/A
121,MOVE INC,REAL ESTATE AGENTS & MANAGERS (FOR OTHERS) [6531]
122,ICAHN ENTERPRISES HOLDINGS L.P.,PETROLEUM REFINING [2911]
123,ICAHN ENTERPRISES L.P.,PETROLEUM REFINING [2911]
124,CARNIVAL CORP,WATER TRANSPORTATION [4400]
125,EDISON INTERNATIONAL,ELECTRIC SERVICES [4911]
126,JOURNAL COMMUNICATIONS INC,NEWSPAPERS:  PUBLISHING OR PUBLISHING & PRINTING [2711]
127,PUTNAM FUNDS TRUST,N/A
128,PUTNAM FUNDS TRUST,N/A
129,T. Rowe Price Capital Appreciation Fund,N/A
130,FIDELITY REVERE STREET TRUST,N/A
131,BLACKROCK MUNI NEW YORK INTERMEDIATE DURATION FUND  INC.,N/A
132,BLACKROCK CALIFORNIA MUNICIPAL INCOME TRUST,N/A
133,BLACKROCK FLORIDA MUNICIPAL 2020 TERM TRUST,N/A
134,BLACKROCK MUNICIPAL INCOME INVESTMENT TRUST,N/A
135,BLACKROCK NEW JERSEY MUNICIPAL INCOME TRUST,N/A
136,BLACKROCK NEW YORK MUNICIPAL INCOME TRUST,N/A
137,BLACKROCK FUNDS,N/A
138,CIT GROUP INC,FINANCE LESSORS [6172]
139,CIT GROUP INC,FINANCE LESSORS [6172]
140,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
141,CIT GROUP INC,FINANCE LESSORS [6172]
142,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
143,BLACKROCK CORPORATE HIGH YIELD FUND  INC.,N/A
144,BLACKROCK FLOATING RATE INCOME STRATEGIES FUND  INC.,N/A
145,BLACKROCK LTD DURATION INCOME TRUST,N/A
146,BLACKROCK CORE BOND TRUST,N/A
147,CREDIT SUISSE AG,SECURITY BROKERS  DEALERS & FLOTATION COMPANIES [6211]
148,HENDERSON GLOBAL FUNDS,N/A
149,MANAGED DURATION INVESTMENT GRADE MUNICIPAL FUND,N/A
150,HENDERSON GLOBAL FUNDS,N/A
151,HENDERSON GLOBAL FUNDS,N/A
152,HENDERSON GLOBAL FUNDS,N/A
153,MANAGED DURATION INVESTMENT GRADE MUNICIPAL FUND,N/A
154,NUVEEN CALIFORNIA AMT-FREE MUNICIPAL INCOME FUND,N/A
155,NUVEEN CALIFORNIA DIVIDEND ADVANTAGE MUNICIPAL FUND,N/A
156,NUVEEN CALIFORNIA DIVIDEND ADVANTAGE MUNICIPAL FUND 2,N/A
157,NUVEEN CALIFORNIA DIVIDEND ADVANTAGE MUNICIPAL FUND 3,N/A
158,MANAGED DURATION INVESTMENT GRADE MUNICIPAL FUND,N/A
159,JACKSONVILLE BANCORP INC /FL/,STATE COMMERCIAL BANKS [6022]
160,Hudson Global  Inc.,SERVICES-HELP SUPPLY SERVICES [7363]
161,Hudson Global  Inc.,SERVICES-HELP SUPPLY SERVICES [7363]
162,FRONTEGRA FUNDS INC,N/A
163,SCHOOL SPECIALTY INC,WHOLESALE-DURABLE GOODS [5000]
164,SCHOOL SPECIALTY INC,WHOLESALE-DURABLE GOODS [5000]
165,MERITOR INC,MOTOR VEHICLE PARTS & ACCESSORIES [3714]
166,ENERSIS S.A.,ELECTRIC SERVICES [4911]
167,Hatteras Alternative Mutual Funds Trust,N/A
168,ADVISORS SERIES TRUST,N/A
169,ADVISORS SERIES TRUST,N/A
170,ADVISORS SERIES TRUST,N/A
171,ADVISORS SERIES TRUST,N/A
172,TRUST FOR PROFESSIONAL MANAGERS,N/A
173,Destra Capital Advisors LLC,N/A
174,TRUST FOR PROFESSIONAL MANAGERS,N/A
175,TRUST FOR PROFESSIONAL MANAGERS,N/A
176,TRUST FOR PROFESSIONAL MANAGERS,N/A
177,TRUST FOR PROFESSIONAL MANAGERS,N/A
178,TRUST FOR PROFESSIONAL MANAGERS,N/A
179,ALLIED ASSET ADVISORS FUNDS,N/A
180,ADVISORS SERIES TRUST,N/A
181,ADVISORS SERIES TRUST,N/A
182,ADVISORS SERIES TRUST,N/A
183,ADVISORS SERIES TRUST,N/A
184,TRUST FOR PROFESSIONAL MANAGERS,N/A
185,ADVISORS SERIES TRUST,N/A
186,Hatteras Alternative Mutual Funds Trust,N/A
187,MARKETOCRACY FUNDS,N/A
188,TRUST FOR PROFESSIONAL MANAGERS,N/A
189,TRUST FOR PROFESSIONAL MANAGERS,N/A
190,ADVISORS SERIES TRUST,N/A
191,ADVISORS SERIES TRUST,N/A
192,TRUST FOR PROFESSIONAL MANAGERS,N/A
193,ADVISORS SERIES TRUST,N/A
194,ADVISORS SERIES TRUST,N/A
195,SUN BANCORP INC /NJ/,COMMERCIAL BANKS  NEC [6029]
196,SUN BANCORP INC /NJ/,COMMERCIAL BANKS  NEC [6029]
197,CARTERS INC,APPAREL & OTHER FINISHED PRODS OF FABRICS & SIMILAR MATERIAL [2300]
198,BJs RESTAURANTS INC,RETAIL-EATING PLACES [5812]
199,PROMOTORA DE INFORMACIONES SA /FI,CABLE & OTHER PAY TELEVISION SERVICES [4841]
200,METRO BANCORP  INC.,STATE COMMERCIAL BANKS [6022]
201,METRO BANCORP  INC.,STATE COMMERCIAL BANKS [6022]
202,VALSPAR CORP,PAINTS  VARNISHES  LACQUERS  ENAMELS & ALLIED PRODUCTS [2851]
203,Mount Vernon Securities Lending Trust,N/A
204,STATOIL ASA,PETROLEUM REFINING [2911]
205,Statoil Petroleum AS,CRUDE PETROLEUM & NATURAL GAS [1311]
206,STATOIL ASA,PETROLEUM REFINING [2911]
207,STATOIL ASA,PETROLEUM REFINING [2911]
208,ADVISORS SERIES TRUST,N/A
209,FMI FUNDS INC,N/A
210,TRUST FOR PROFESSIONAL MANAGERS,N/A
211,TRUST FOR PROFESSIONAL MANAGERS,N/A
212,TRUST FOR PROFESSIONAL MANAGERS,N/A
213,TRUST FOR PROFESSIONAL MANAGERS,N/A
214,TRUST FOR PROFESSIONAL MANAGERS,N/A
215,TRUST FOR PROFESSIONAL MANAGERS,N/A
216,TRUST FOR PROFESSIONAL MANAGERS,N/A
217,TRUST FOR PROFESSIONAL MANAGERS,N/A
218,EBAY INC,SERVICES-BUSINESS SERVICES  NEC [7389]
219,tw telecom inc.,TELEPHONE COMMUNICATIONS (NO RADIO TELEPHONE) [4813]
220,CymaBay Therapeutics  Inc.,PHARMACEUTICAL PREPARATIONS [2834]
221,Green Brick Partners  Inc.,INDUSTRIAL ORGANIC CHEMICALS [2860]
222,INTERSECTIONS INC,SERVICES-COMPUTER PROCESSING & DATA PREPARATION [7374]
223,INTERSECTIONS INC,SERVICES-COMPUTER PROCESSING & DATA PREPARATION [7374]
224,INTERSECTIONS INC,SERVICES-COMPUTER PROCESSING & DATA PREPARATION [7374]
225,VORNADO REALTY TRUST,REAL ESTATE INVESTMENT TRUSTS [6798]
226,TANGER FACTORY OUTLET CENTERS INC,REAL ESTATE INVESTMENT TRUSTS [6798]
227,JDS UNIPHASE CORP /CA/,SEMICONDUCTORS & RELATED DEVICES [3674]
228,WET SEAL INC,RETAIL-WOMEN'S CLOTHING STORES [5621]
229,ALLSCRIPTS HEALTHCARE SOLUTIONS  INC.,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN [7373]
230,EXCELSIOR VENTURE PARTNERS III LLC,N/A
231,EXCELSIOR MULTI-STRATEGY HEDGE FUND OF FUNDS  LLC,N/A
232,Civeo Corp,HOTELS  ROOMING HOUSE  CAMPS & OTHER LODGING PLACES [7000]
233,WET SEAL INC,RETAIL-WOMEN'S CLOTHING STORES [5621]
234,ARAUCO & CONSTITUTION PULP INC,PULP MILLS [2611]
235,SOUTHEAST AIRPORT GROUP,AIRPORTS  FLYING FIELDS & AIRPORT TERMINAL SERVICES [4581]
236,THERAVANCE INC,PHARMACEUTICAL PREPARATIONS [2834]
237,THERAVANCE INC,PHARMACEUTICAL PREPARATIONS [2834]
238,VEOLIA ENVIRONNEMENT,REFUSE SYSTEMS [4953]
239,LORAL SPACE & COMMUNICATIONS INC.,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT [3663]
240,CIG WIRELESS CORP.,COMMUNICATION SERVICES  NEC [4899]
241,Raptor Pharmaceutical Corp,PHARMACEUTICAL PREPARATIONS [2834]
242,Raptor Pharmaceutical Corp,PHARMACEUTICAL PREPARATIONS [2834]
243,Raptor Pharmaceutical Corp,PHARMACEUTICAL PREPARATIONS [2834]
244,Raptor Pharmaceutical Corp,PHARMACEUTICAL PREPARATIONS [2834]
245,Raptor Pharmaceutical Corp,PHARMACEUTICAL PREPARATIONS [2834]
246,Raptor Pharmaceutical Corp,PHARMACEUTICAL PREPARATIONS [2834]
247,Raptor Pharmaceutical Corp,PHARMACEUTICAL PREPARATIONS [2834]
248,Raptor Pharmaceutical Corp,PHARMACEUTICAL PREPARATIONS [2834]
249,Raptor Pharmaceutical Corp,PHARMACEUTICAL PREPARATIONS [2834]
250,Raptor Pharmaceutical Corp,PHARMACEUTICAL PREPARATIONS [2834]
251,Raptor Pharmaceutical Corp,PHARMACEUTICAL PREPARATIONS [2834]
252,Raptor Pharmaceutical Corp,PHARMACEUTICAL PREPARATIONS [2834]
253,Raptor Pharmaceutical Corp,PHARMACEUTICAL PREPARATIONS [2834]
254,Raptor Pharmaceutical Corp,PHARMACEUTICAL PREPARATIONS [2834]
255,SAUL CENTERS INC,REAL ESTATE INVESTMENT TRUSTS [6798]
256,SAUL CENTERS INC,REAL ESTATE INVESTMENT TRUSTS [6798]
257,SAUL CENTERS INC,REAL ESTATE INVESTMENT TRUSTS [6798]
258,SAUL CENTERS INC,REAL ESTATE INVESTMENT TRUSTS [6798]
259,SAUL CENTERS INC,REAL ESTATE INVESTMENT TRUSTS [6798]
260,SAUL CENTERS INC,REAL ESTATE INVESTMENT TRUSTS [6798]
261,SAUL CENTERS INC,REAL ESTATE INVESTMENT TRUSTS [6798]
262,SAUL CENTERS INC,REAL ESTATE INVESTMENT TRUSTS [6798]
263,iSHARES TRUST,N/A
264,iSHARES TRUST,N/A
265,iSHARES TRUST,N/A
266,iSHARES TRUST,N/A
267,LSB FINANCIAL CORP,SAVINGS INSTITUTION  FEDERALLY CHARTERED [6035]
268,LSB FINANCIAL CORP,SAVINGS INSTITUTION  FEDERALLY CHARTERED [6035]
269,LSB FINANCIAL CORP,SAVINGS INSTITUTION  FEDERALLY CHARTERED [6035]
270,LSB FINANCIAL CORP,SAVINGS INSTITUTION  FEDERALLY CHARTERED [6035]
271,LSB FINANCIAL CORP,SAVINGS INSTITUTION  FEDERALLY CHARTERED [6035]
272,LSB FINANCIAL CORP,SAVINGS INSTITUTION  FEDERALLY CHARTERED [6035]
273,LSB FINANCIAL CORP,SAVINGS INSTITUTION  FEDERALLY CHARTERED [6035]
274,LSB FINANCIAL CORP,SAVINGS INSTITUTION  FEDERALLY CHARTERED [6035]
275,AARON'S INC,SERVICES-EQUIPMENT RENTAL & LEASING  NEC [7359]
276,GRAFTECH INTERNATIONAL LTD,ELECTRICAL INDUSTRIAL APPARATUS [3620]
277,null,N/A
278,REGENERON PHARMACEUTICALS INC,PHARMACEUTICAL PREPARATIONS [2834]
279,lululemon athletica inc.,APPAREL & OTHER FINISHED PRODS OF FABRICS & SIMILAR MATERIAL [2300]
280,VALUEVISION MEDIA INC,RETAIL-CATALOG & MAIL-ORDER HOUSES [5961]
281,RENAISSANCE CAPITAL GREENWICH FUNDS,N/A
282,RENAISSANCE CAPITAL GREENWICH FUNDS,N/A
283,ADVISORONE FUNDS,N/A
284,ADVISORONE FUNDS,N/A
285,REGENCY CENTERS CORP,REAL ESTATE INVESTMENT TRUSTS [6798]
286,SEABRIDGE GOLD INC,GOLD & SILVER ORES [1040]
287,ELBIT SYSTEMS LTD,AIRCRAFT PART & AUXILIARY EQUIPMENT  NEC [3728]
288,ELBIT SYSTEMS LTD,AIRCRAFT PART & AUXILIARY EQUIPMENT  NEC [3728]
289,ELBIT SYSTEMS LTD,AIRCRAFT PART & AUXILIARY EQUIPMENT  NEC [3728]
290,JINPAN INTERNATIONAL LTD,POWER  DISTRIBUTION & SPECIALTY TRANSFORMERS [3612]
291,ELBIT SYSTEMS LTD,AIRCRAFT PART & AUXILIARY EQUIPMENT  NEC [3728]
292,ELBIT SYSTEMS LTD,AIRCRAFT PART & AUXILIARY EQUIPMENT  NEC [3728]
293,URANERZ ENERGY CORP.,METAL MINING [1000]
294,ONCOLYTICS BIOTECH INC,PHARMACEUTICAL PREPARATIONS [2834]
295,GENERAL DYNAMICS CORP,SHIP & BOAT BUILDING & REPAIRING [3730]
296,ACORDA THERAPEUTICS INC,BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES) [2836]
297,WAUSAU PAPER CORP.,PAPER MILLS [2621]
298,CIBER INC,SERVICES-COMPUTER PROGRAMMING SERVICES [7371]
299,SEARS HOLDINGS CORP,RETAIL-DEPARTMENT STORES [5311]
300,Knightsbridge Shipping Ltd,WATER TRANSPORTATION [4400]
301,Knightsbridge Shipping Ltd,WATER TRANSPORTATION [4400]
302,Knightsbridge Shipping Ltd,WATER TRANSPORTATION [4400]
303,Knightsbridge Shipping Ltd,WATER TRANSPORTATION [4400]
304,Knightsbridge Shipping Ltd,WATER TRANSPORTATION [4400]
305,ALLIANCEBERNSTEIN UNCONSTRAINED BOND FUND  INC.,N/A
306,ALLIANCEBERNSTEIN UNCONSTRAINED BOND FUND  INC.,N/A
307,Knightsbridge Shipping Ltd,WATER TRANSPORTATION [4400]
308,PIMCO INCOME STRATEGY FUND,N/A
309,ALLIANCEBERNSTEIN BOND FUND INC,N/A
310,BBX CAPITAL CORP,SAVINGS INSTITUTION  FEDERALLY CHARTERED [6035]
311,BBX CAPITAL CORP,SAVINGS INSTITUTION  FEDERALLY CHARTERED [6035]
312,FIRST INDUSTRIAL LP,REAL ESTATE INVESTMENT TRUSTS [6798]
313,MGT CAPITAL INVESTMENTS INC,PATENT OWNERS & LESSORS [6794]
314,WALTER INVESTMENT MANAGEMENT CORP,MORTGAGE BANKERS & LOAN CORRESPONDENTS [6162]
315,VOLT INFORMATION SCIENCES  INC.,SERVICES-HELP SUPPLY SERVICES [7363]
316,Vitae Pharmaceuticals  Inc,PHARMACEUTICAL PREPARATIONS [2834]
317,diaDexus  Inc.,PHARMACEUTICAL PREPARATIONS [2834]
318,VOLT INFORMATION SCIENCES  INC.,SERVICES-HELP SUPPLY SERVICES [7363]
319,VOLT INFORMATION SCIENCES  INC.,SERVICES-HELP SUPPLY SERVICES [7363]
320,CARDICA INC,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS [3841]
321,ROYAL BANCSHARES OF PENNSYLVANIA INC,STATE COMMERCIAL BANKS [6022]
322,FelCor Lodging Trust Inc,REAL ESTATE INVESTMENT TRUSTS [6798]
323,JOHN HANCOCK PREFERRED INCOME FUND,N/A
324,JOHN HANCOCK PREFERRED INCOME FUND,N/A
325,JOHN HANCOCK PREFERRED INCOME FUND II,N/A
326,JOHN HANCOCK PREFERRED INCOME FUND III,N/A
327,PUTNAM FUNDS TRUST,N/A
328,PUTNAM FUNDS TRUST,N/A
329,PUTNAM FUNDS TRUST,N/A
330,PUTNAM FUNDS TRUST,N/A
331,PUTNAM FUNDS TRUST,N/A
332,PUTNAM FUNDS TRUST,N/A
333,PUTNAM FUNDS TRUST,N/A
334,PUTNAM FUNDS TRUST,N/A
335,PUTNAM FUNDS TRUST,N/A
336,PUTNAM FUNDS TRUST,N/A
337,PUTNAM FUNDS TRUST,N/A
338,PUTNAM FUNDS TRUST,N/A
339,PUTNAM FUNDS TRUST,N/A
340,PUTNAM FUNDS TRUST,N/A
341,PUTNAM FUNDS TRUST,N/A
342,HC2 Holdings  Inc.,TELEPHONE COMMUNICATIONS (NO RADIO TELEPHONE) [4813]
343,TOYOTA AUTO FINANCE RECEIVABLES LLC,ASSET-BACKED SECURITIES [6189]
344,BMW Vehicle Owner Trust 2014-A,ASSET-BACKED SECURITIES [6189]
345,BMW Vehicle Owner Trust 2014-A,ASSET-BACKED SECURITIES [6189]
346,TOYOTA AUTO FINANCE RECEIVABLES LLC,ASSET-BACKED SECURITIES [6189]
347,BMW Vehicle Owner Trust 2014-A,ASSET-BACKED SECURITIES [6189]
348,TOYOTA AUTO FINANCE RECEIVABLES LLC,ASSET-BACKED SECURITIES [6189]
349,Civeo Corp,HOTELS  ROOMING HOUSE  CAMPS & OTHER LODGING PLACES [7000]
350,KINDRED HEALTHCARE  INC,SERVICES-NURSING & PERSONAL CARE FACILITIES [8050]
351,BMW Vehicle Owner Trust 2014-A,ASSET-BACKED SECURITIES [6189]
352,BMW Vehicle Owner Trust 2014-A,ASSET-BACKED SECURITIES [6189]
353,BMW Vehicle Owner Trust 2014-A,ASSET-BACKED SECURITIES [6189]
354,Toyota Auto Receivables 2014-C Owner Trust,ASSET-BACKED SECURITIES [6189]
355,BMW Vehicle Owner Trust 2014-A,ASSET-BACKED SECURITIES [6189]
356,TOYOTA LEASING INC,ASSET-BACKED SECURITIES [6189]
357,AWARE INC /MA/,SEMICONDUCTORS & RELATED DEVICES [3674]
358,LORD ABBETT EQUITY TRUST,N/A
359,LORD ABBETT AFFILIATED FUND INC,N/A
360,TIAA-CREF FUNDS,N/A
361,LAZARD RETIREMENT SERIES INC,N/A
362,ASA Gold & Precious Metals Ltd,N/A
363,ETF Securities Advisors LLC,N/A
364,ETF Securities Advisors LLC,N/A
